node_id,name,jurisdiction,jurisdiction_description,country_codes,countries
10000001,TIANSHENG INDUSTRY AND TRADING CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000002,NINGBO SUNRISE ENTERPRISES UNITED CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000003,HOTFOCUS CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000004,SKY-BLUE GIFTS & TOYS CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000005,FORTUNEMAKER INVESTMENTS CORPORATION,SAM,Samoa,HKG,Hong Kong
10000006,8808 HOLDING LIMITED,SAM,Samoa,HKG,Hong Kong
10000007,KENT DEVELOPMENT LIMITED,SAM,Samoa,HKG,Hong Kong
10000008,BONUS TRADE LIMITED,SAM,Samoa,HKG,Hong Kong
10000009,AMARANDAN LTD.,SAM,Samoa,HKG,Hong Kong
10000010,NEW IDEA LIMITED,SAM,Samoa,HKG,Hong Kong
10000011,HUGH POWER LIMITED,SAM,Samoa,HKG,Hong Kong
10000012,ULTIMATE GROUP LIMITED,SAM,Samoa,HKG,Hong Kong
10000013,VICTORY GROUP LIMITED,SAM,Samoa,TWN,Taiwan
10000014,CHARTER MARK LIMITED,SAM,Samoa,CHN,China
10000015,Wide International Trading Co. Ltd.,SAM,Samoa,HKG,Hong Kong
10000019,HTSS ET CAPITAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000020,JIE LUN INVESTMENT LIMITED,SAM,Samoa,HKG,Hong Kong
10000021,FORTUNE PALACE LIMITED,SAM,Samoa,CHN,China
10000024,LAKE STREET INVESTMENTS LTD.,SAM,Samoa,CHE,Switzerland
10000016,NINGBO RAPID INTERNATIONAL TRADING CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000017,ANGELIKA INTERNATIONAL LTD.,SAM,Samoa,SGP,Singapore
10000018,CHEM D-T Corp.,SAM,Samoa,TWN,Taiwan
10000022,PRESTIGE INTERNATIONAL CORP.,SAM,Samoa,TWN,Taiwan
10000023,SUNNY TREASURE INTERNATIONAL LIMITED,SAM,Samoa,TWN,Taiwan
10000025,GIT CO INC.,SAM,Samoa,CHE,Switzerland
10000026,EURO INVESTMENT CAPITAL INC.,SAM,Samoa,CHE,Switzerland
10000027,WORLD TOOLS INVESTMENTS CORP.,SAM,Samoa,BRA,Brazil
10000028,WINESELECTION S.A.,SAM,Samoa,CHE,Switzerland
10000029,NECY CONSULTANTS LIMITED,SAM,Samoa,HKG,Hong Kong
10000030,KIND INTERNATIONAL INC.,SAM,Samoa,TWN,Taiwan
10000031,Aegis Infocom Inc.,SAM,Samoa,TWN,Taiwan
10000032,TOPLINE INVESTMENTS LIMITED,SAM,Samoa,SGP,Singapore
10000033,CLARKSBURG MANAGEMENT LTD.,SAM,Samoa,PAN,Panama
10000034,Alvear Investments Limited,SAM,Samoa,WSM,Samoa
10000035,CARPENTER NELSON & CO. LTD.,SAM,Samoa,CHE,Switzerland
10000036,RIVIERA HOLDINGS LIMITED,SAM,Samoa,CHE,Switzerland
10000037,PARKDALE HOLDINGS LTD.,SAM,Samoa,PAN,Panama
10000038,SADDLEVILLE CORPORATION,SAM,Samoa,PAN,Panama
10000059,TETRA INTERNATIONAL LTD.,SAM,Samoa,CHE,Switzerland
10000039,BELLEVUE INTERNATIONAL (FRANCE) CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000040,MEIHO INTERNATIONAL CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000041,LONSDALE LIMITED,SAM,Samoa,LIE,Liechtenstein
10000042,GARIBALDI S.A.,SAM,Samoa,CHE,Switzerland
10000043,DAFORD INTERNATIONAL CORP.,SAM,Samoa,CHE,Switzerland
10000044,GOLDEN NET INTERNATIONAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000045,EXCELLENCE GROUP LTD.,SAM,Samoa,TWN,Taiwan
10000046,D&C SUZHOU INTERNATIONAL LTD.,SAM,Samoa,HKG,Hong Kong
10000047,CORAL SEA GROUP LTD.,SAM,Samoa,HKG,Hong Kong
10000048,DELTORIA TRADING LTD.,SAM,Samoa,HKG,Hong Kong
10000049,AMPLE YIELD INTERNATIONAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000050,UNIVERSAL RESOURCES LIMITED,SAM,Samoa,SGP,Singapore
10000051,NEXXGEN SOURCING LTD.,SAM,Samoa,HKG,Hong Kong
